Unnamed: 0,source_id,source_name,author,title,description,url,urlToImage,publishedAt,content
0,,Android Central,techkritiko@gmail.com (Jay Bonggolto),Honor teams up with Gemini and ChatGPT’s biggest rival to level up its AI assistant,Honor is boosting its AI assistant by teaming up with a major player in the AI field.,https://www.androidcentral.com/apps-software/honor-teams-up-with-gemini-and-chatgpts-biggest-rival-to-level-up-its-ai-assistant,https://cdn.mos.cms.futurecdn.net/cLwcy97aagdeteiscnTCYC-1200-80.jpg,2025-02-10 18:49:23+00:00,"What you need to know
<ul><li>Honor is upgrading its YOYO Assistant with DeepSeek-R1 for a more intuitive experience.</li><li>DeepSeek-R1 boosts YOYO’s natural language skills, making it more contex… [+2410 chars]"
1,,MacRumors,Joe Rossignol,Apple Reportedly 'Passed Over' DeepSeek as Apple Intelligence Partner,"Apple in recent months ""passed over"" the Chinese artificial intelligence company DeepSeek, according to The Information.





DeepSeek has garnered significant media attention over the past few weeks, as it developed an artificial intelligence model at a lowe…",https://www.macrumors.com/2025/02/11/apple-reportedly-passed-over-deepseek/,https://images.macrumors.com/t/M2A51Dg_0tteMenthsWX6iCzgok=/1600x/article-new/2024/09/Apple-Intelligence-iPhone-16.jpg,2025-02-11 14:54:38+00:00,"Apple in recent months ""passed over"" the Chinese artificial intelligence company DeepSeek, according to The Information.
DeepSeek has garnered significant media attention over the past few weeks, as… [+1527 chars]"
2,business-insider,Business Insider,Hasan Chowdhury,Aidan Gomez helped spark the generative AI boom at Google. He doesn't think DeepSeek will fix your business's problems.,"The Cohere CEO and former Google Brain member was impressed by DeepSeek's reasoning model, but doesn't think it'll be useful to enterprises.",https://www.businessinsider.com/cohere-aidan-gomez-deepseek-ai-r1-businesses-2025-2,https://i.insider.com/67a613deeb4be2fff9a3e66e?width=1200&format=jpeg,2025-02-07 14:04:28+00:00,"Aiden Gomez is one of the Google Brain researchers who co-authored a paper that sparked the generative AI boom.Cohere
<ul><li>Aidan Gomez is impressed by DeepSeek but doesn't think its AI is enterpr… [+5792 chars]"
3,business-insider,Business Insider,Matthew Loh,Google's AI lab CEO said DeepSeek is China's 'best work' he's seen so far but that it showed 'no actual new scientific advance',"""It's using known techniques, actually many of the techniques we invented at Google and at DeepMind,"" Demis Hassabis said on Sunday.",https://www.businessinsider.com/demis-hassabis-deepseek-china-best-no-new-actual-scientific-advance-2025-2,https://i.insider.com/67a9a58e6630eb10385c0d8d?width=1200&format=jpeg,2025-02-10 07:41:09+00:00,"Demis Hassabis, cofounder and CEO of Google DeepMind, said on Sunday that DeepSeek's AI model brought ""no new actual scientific advance"" despite its hype.Gonzalo Fuentes/REUTERS
<ul><li>DeepMind's D… [+2154 chars]"
4,business-insider,Business Insider,Tom Carter,DeepSeek's AI is the hot new feature for Chinese cars. Here are all the automakers adding it to their EVs.,"Tesla rivals BYD, Geely, and Great Wall have all said they will integrate Deepseek's AI model into their in-car software in recent weeks.",https://www.businessinsider.com/all-chinese-automakers-adding-deepseek-ai-ev-cars-2025-2,https://i.insider.com/67ac83286630eb10385c5718?width=1200&format=jpeg,2025-02-12 13:06:10+00:00,"BYD has become the latest automaker to incorporate Deepseek's R1 into its vehicles.Getty Images
<ul><li>DeepSeek has shaken the global tech industry and sparked an outpouring of national AI pride in… [+2291 chars]"
5,business-insider,Business Insider,Shubhangi Goel,Meta's head of AI advises Europe to keep open-source models — like DeepSeek — legal,"LeCun has advocated for open-source models, saying that these systems should not be controlled by a small number of people.",https://www.businessinsider.com/europe-should-keep-open-source-ai-legal-yann-lecun-2025-2,https://i.insider.com/653262e096908fd7cdb3775b?width=1200&format=jpeg,2025-02-11 07:40:06+00:00,"Meta's AI chief says Europe should keep its AI models open source.Kevin Dietsch/Getty Images
<ul><li>Europe should keep AI models open source or risk falling behind, said Meta's chief AI scientist.<… [+2763 chars]"
6,,MacRumors,Juli Clover,Mistral AI's 'Le Chat' Chatbot Now Available on iPhone,"If you haven't had enough of AI apps, there's yet another to download and try out as of today. European company Mistral's Le Chat chatbot can now be used through a dedicated iOS app.





Mistral is a French AI company founded by engineers from Google and Met…",https://www.macrumors.com/2025/02/06/mistral-ais-le-chat-chatbot-now-available-on-iphone/,https://images.macrumors.com/t/sXkey5i_sAUimsp9qf4JTQahLIA=/4275x/article-new/2025/02/le-chat-mistral.jpg,2025-02-07 00:01:00+00:00,"If you haven't had enough of AI apps, there's yet another to download and try out as of today. European company Mistral's Le Chat chatbot can now be used through a dedicated iOS app.
Mistral is a Fr… [+701 chars]"
7,,Slashdot.org,msmash,Ex-Google Chief Warns West To Focus On Open-Source AI in Competition With China,Former Google chief Eric Schmidt has warned that western countries need to focus on building open-source AI models or risk losing out to China in the global race to develop the cutting-edge technology. From a report: The warning comes after Chinese startup De…,https://tech.slashdot.org/story/25/02/12/1345256/ex-google-chief-warns-west-to-focus-on-open-source-ai-in-competition-with-china,https://a.fsdn.com/sd/topics/ai_64.png,2025-02-12 14:00:00+00:00,"The warning comes after Chinese startup DeepSeek shocked the world last month with the launch of R1, its powerful-reasoning open large language model, which was built in a more efficient way than its… [+675 chars]"
8,,Yahoo Entertainment,Seana Smith,Don't confuse consumer AI with Big Tech's enterprise initiatives,"Big Tech companies are spending big on artificial intelligence (AI), with Amazon (AMZN) set to spend more than $100 billion in capital expenditures in 2025. ...",https://finance.yahoo.com/video/dont-confuse-consumer-ai-big-174121164.html,https://s.yimg.com/ny/api/res/1.2/8Dr4HrbeQ1jX6mv4noE.Sg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzY-/https://s.yimg.com/os/creatr-uploaded-images/2025-02/d9163e70-e576-11ef-b67d-b1d6290f3a93,2025-02-07 17:41:21+00:00,"Big Tech companies are spending big on artificial intelligence (AI), with Amazon (AMZN) set to spend more than $100 billion in capital expenditures in 2025.
Faisal Hoque, author of Transcend: Unlock… [+939 chars]"
9,,Digital Trends,Bryan M. Wolfe,Security flaws and privacy concerns plague DeepSeek iOS app,Concerns are growing that the Chinese-based DeepSeek AI chatbot isn't secure and lacks privacy controls.,https://www.digitaltrends.com/mobile/security-flaws-and-privacy-concerns-plague-deepseek-ios-app/,https://www.digitaltrends.com/wp-content/uploads/2025/01/deepseek011.jpg?resize=1200%2C630&p=1,2025-02-07 15:12:18+00:00,"It’s one of the biggest apps in the App Store. However, it looks like DeepSeek is also riddled with security flaws.
According to NowSecure, the Chinese-based AI chatbot has significant data security… [+2228 chars]"
